Brand,Product Name,Current Price,Original Price,Discount (%),Rating,Reviews,Breadcrumbs,Product URL
Mamaearth,Creamy Matte Rose Nude,335,399,16,4.2,17.3k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---rose-nude/28546562/buy
Pilgrim,Insta 3 in 1 Tint - 03,218,545,60,4.3,862,Home / Personal Care / Lipstick / Pilgrim,https://www.myntra.com/lipstick/pilgrim/pilgrim-insta-3-in-1-lip-cheek--eye-tint---25ml---the-brown-trend---03/25823556/buy
SWISS BEAUTY,Lipstick - Peaches N Cream 202,183,229,20,4.3,20.4k,Home / Personal Care / Lipstick / SWISS BEAUTY,https://www.myntra.com/lipstick/swiss+beauty/swiss-beauty-pure-matte-lipstick---peaches-n-cream-202/15581144/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each---3-14-/40905622/buy
Lakme,Hya Matte Lipstick - MM3,454,699,35,4.4,237.5k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-9to5-hya-matte-hydrating-smudgeproof-lipstick-lasts-14hr-36g---sangria-sunday-mm3-/32684021/buy
STAZE,Pout On Lip Crayon - 11,218,299,27,4.3,705,Home / Personal Care / Lipstick / STAZE,https://www.myntra.com/lipstick/staze/staze-pout-on-matte-finish-smudgeproof-lip-crayon-with-jojoba-oil---red-hot-baby-11/31046525/buy
Lakme,Powerplay Priming Lipstick,357,650,45,4.4,4.2k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---ruby-rush/13105596/buy
Mamaearth,Moisture Matte cinnamon Nude,226,349,35,4.3,10.7k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-long-stay-mini-lipstick---07-g---04-cinnamon-nude/31082031/buy
Pilgrim,Matte Bullet Lipstick - 31,417,595,30,4.3,10.8k,Home / Personal Care / Lipstick / Pilgrim,https://www.myntra.com/lipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof--smudgeproof-lipstick---nude-kiss-31/30593162/buy
FAE BEAUTY,Lip Whip Lipstick- Revenge,338,650,48,4.4,4.7k,Home / Personal Care / Lipstick / FAE BEAUTY,https://www.myntra.com/lipstick/fae+beauty/fae-beauty-lip-whip-long-lasting-12h-non-drying-soft-matte-liquid-lipstick--10ml---revenge/31611753/buy
MARS,Brown Lip Crayon,253,279,9,4.3,19.5k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-brown-smudge-wont-budge-lip-crayon/15792264/buy
Ronzille,6 Sexy Lippes Bullet lipstick,155,299,48,3.5,97,Home / Personal Care / Lipstick / Ronzille,https://www.myntra.com/lipstick/ronzille/ronzille-sexy-lippes-set-of-6-pink-edition-mini-bullet-lipstick---2g-each/24656900/buy
Hilary Rhoda,Lipstick - 5ml- Wild Wine - 10,229,269,15,4.5,1.1k,Home / Personal Care / Lipstick / Hilary Rhoda,https://www.myntra.com/lipstick/hilary+rhoda/hilary-rhoda-touch-of-mousse-matte-finish-waterproof-liquid-lipstick---5ml--wild-wine---10/35100525/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each---8-12-/40905644/buy
ETUDE,Dear Darling Water Tint - 5,405,450,10,4.4,25.7k,Home / Personal Care / Lipstick / ETUDE,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-tint-9g---grape-ade-5/27916432/buy
SWISS BEAUTY,Stay All Day Matte Lipstick,269,299,10,3.9,108,Home / Personal Care / Lipstick / SWISS BEAUTY,https://www.myntra.com/lipstick/swiss+beauty/swiss-beauty-stay-all-day-transfer-proof--lightweight-matte-lipstick---pouty-01/37484766/buy
FACES CANADA,Comfy Matte Wow Lipstick-01,260,299,13,4.4,20.5k,Home / Personal Care / Lipstick / FACES CANADA,https://www.myntra.com/lipstick/faces+canada/faces-canada-comfy-matte-wow-liquid-lipstick---38ml---choco-couture-01/29905114/buy
Ronzille,Set Of 3 Matte Lip Crayon,250,897,72,4.4,491,Home / Personal Care / Lipstick / Ronzille,https://www.myntra.com/lipstick/ronzille/ronzille-set-of-3-long-lasting-waterproof-matte-lip-crayon---shades-1-3-6/26633200/buy
Pilgrim,Set Of 4 Lipstick-1 ml Each,372,745,50,4.4,6.5k,Home / Personal Care / Lipstick / Pilgrim,https://www.myntra.com/lipstick/pilgrim/pilgrim-set-of-4-matte-me-up-mini-hydrating-liquid-lipstick---1-ml-each-bold-mistress/31857368/buy
Mamaearth,Creamy Matte Pillow Nude,239,399,40,4.2,17.3k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---pillow-nude/28546564/buy
